"","Est","lci","uci","var","outcome_name"
"70",0.820430580268491,0.809975860709144,0.831020243554394,"selfharm","Self-harm"
"71",0.815009067690297,0.804724388915095,0.825425188508223,"selfharm","Self-harm"
"72",1.07550250989074,1.06272226543435,1.08843644892348,"selfharm","Self-harm"
"73",1.02615818567788,1.01402600520302,1.03843552002682,"selfharm","Self-harm"
"74",0.921014014690578,0.909704727702579,0.932463896718135,"selfharm","Self-harm"
"75",1.04054821970135,1.02820999612779,1.05303449840132,"selfharm","Self-harm"
"76",0.959653966308304,0.947956061173555,0.971496225163807,"selfharm","Self-harm"
"77",1.00498367320935,0.992792748674285,1.01732429529329,"selfharm","Self-harm"
"78",0.771863224353081,0.76222850879044,0.781619724581215,"selfharm","Self-harm"
"79",1.01631291388992,1.01612240482114,1.01650345867655,"selfharm","Self-harm"
"80",1.00610861805081,1.00374116592314,1.00848165411762,"selfharm","Self-harm"
"81",0.000212376628332008,0.000210148687643242,0.000214628189057465,"smi","Severe Mental Illness"
"82",0.95128033968718,0.92989429482324,0.973158228535396,"smi","Severe Mental Illness"
"83",0.998138366500049,0.998091717282283,0.998185017898125,"smi","Severe Mental Illness"
"84",0.989080254635075,0.977488128903195,1.0008098525009,"smi","Severe Mental Illness"
"85",0.943835958068121,0.932491624954021,0.955318301959325,"smi","Severe Mental Illness"
"86",0.786328796424822,0.776214065728751,0.796575330680725,"smi","Severe Mental Illness"
"87",0.797531381326802,0.786953885732319,0.808251049690337,"smi","Severe Mental Illness"
"88",0.883700899920602,0.872401158083881,0.895147001220963,"smi","Severe Mental Illness"
"89",0.871532641069691,0.860523403000986,0.88268272751327,"smi","Severe Mental Illness"
"90",0.803704151810037,0.792993000061828,0.814559981722826,"smi","Severe Mental Illness"
"91",0.896438072514919,0.885081369287355,0.907940496478083,"smi","Severe Mental Illness"
"92",0.89221084296862,0.880709470866025,0.903862413933177,"smi","Severe Mental Illness"
"93",0.927428682755788,0.915461821647143,0.939551973943118,"smi","Severe Mental Illness"
"94",0.766340919230469,0.756221928743149,0.776595311726897,"smi","Severe Mental Illness"
"95",1.00414177145205,1.00355788416302,1.00472599845678,"smi","Severe Mental Illness"
"96",1.00451505243181,1.00193017966521,1.00710659389384,"smi","Severe Mental Illness"
